"ASSET_ASSOC_ID","LS_ASSET_ID","ASSOC_ASSET_ID","RS_ASSET_ID","ENABLED"
50000607,50000446,227,50000606,"Y"
50000609,50000446,227,50000608,"Y"
50000611,50000446,227,50000610,"Y"
50000613,50000446,227,50000612,"Y"
50000615,50000446,227,50000614,"Y"
50000617,50000446,227,50000616,"Y"
50000619,50000446,227,50000618,"Y"
50000621,50000446,227,50000620,"Y"
50000623,50000446,227,50000622,"Y"
50000625,50000447,227,50000624,"Y"
50000627,50000447,227,50000626,"Y"
50000629,50000447,227,50000628,"Y"
50000631,50000447,227,50000630,"Y"
50000633,50000447,227,50000632,"Y"
50000635,50000447,227,50000634,"Y"
50000637,50000447,227,50000636,"Y"
50000639,50000447,227,50000638,"Y"
50000641,50000447,227,50000640,"Y"
50000643,50000447,227,50000642,"Y"
50000645,50000447,227,50000644,"Y"
50000647,50000447,227,50000646,"Y"
50000649,50000447,227,50000648,"Y"
50000651,50000447,227,50000650,"Y"
50000653,50000447,227,50000652,"Y"
50000655,50000447,227,50000654,"Y"
50000657,50000447,227,50000656,"Y"
50000659,50000447,227,50000658,"Y"
50000661,50000447,227,50000660,"Y"
50000663,50000447,227,50000662,"Y"
50000665,50000448,227,50000664,"Y"
50000667,50000448,227,50000666,"Y"
50000669,50000448,227,50000668,"Y"
50000671,50000448,227,50000670,"Y"
50000673,50000448,227,50000672,"Y"
50000675,50000448,227,50000674,"Y"
50000677,50000448,227,50000676,"Y"
50000679,50000448,227,50000678,"Y"
50000681,50000448,227,50000680,"Y"
50000683,50000448,227,50000682,"Y"
50000685,50000449,227,50000684,"Y"
50000687,50000449,227,50000686,"Y"
50000689,50000449,227,50000688,"Y"
50000691,50000449,227,50000690,"Y"
50000693,50000449,227,50000692,"Y"
50000695,50000449,227,50000694,"Y"
50000697,50000449,227,50000696,"Y"
50000699,50000449,227,50000698,"Y"
50000701,50000449,227,50000700,"Y"
50000703,50000441,227,50000702,"Y"
50000460,220,363,50000282,"Y"
50000461,221,363,50000282,"Y"
50000462,222,363,50000282,"Y"
50000463,223,363,50000282,"Y"
50000464,224,363,50000282,"Y"
50000465,225,363,50000282,"Y"
50000466,279,363,50000282,"Y"
50000467,280,363,50000282,"Y"
50000468,281,363,50000282,"Y"
50000469,283,363,50000282,"Y"
50000470,284,363,50000282,"Y"
50000471,287,363,50000282,"Y"
50000472,289,363,50000282,"Y"
50000473,290,363,50000282,"Y"
50000474,291,363,50000282,"Y"
50000475,517,363,50000282,"Y"
50000476,556,363,50000282,"Y"
